n,ime,i,j,c1,c2
21,"2D Grid Graph for [7, 3]",1,4,3,4
21,"2D Grid Graph for [7, 3]",2,2,3,3
21,"2D Grid Graph for [7, 3]",2,3,2,2
21,"2D Grid Graph for [7, 3]",2,4,3,2
21,Random Block Graph with 5 blocks of order 5,1,2,2,2
21,Random Block Graph with 5 blocks of order 5,1,3,2,1
21,Random Block Graph with 5 blocks of order 5,1,4,2,2
21,Random Block Graph with 5 blocks of order 5,2,2,1,1
21,Random Block Graph with 5 blocks of order 5,2,3,1,1
21,Random Block Graph with 5 blocks of order 5,2,4,2,1
21,Random Block Graph with 4 blocks of order 6,1,2,2,1
21,Random Block Graph with 4 blocks of order 6,1,3,2,1
21,Random Block Graph with 4 blocks of order 6,1,4,1,1
21,Random Block Graph with 4 blocks of order 6,2,2,1,2
21,Random Block Graph with 4 blocks of order 6,2,3,1,1
21,Random Block Graph with 4 blocks of order 6,2,4,1,1
22,"2D Grid Graph for [2, 11]",1,2,3,2
22,"2D Grid Graph for [2, 11]",1,3,4,3
22,"2D Grid Graph for [2, 11]",1,4,3,3
22,"2D Grid Graph for [2, 11]",2,2,3,3
22,"2D Grid Graph for [2, 11]",2,3,3,3
22,"2D Grid Graph for [2, 11]",2,4,3,3
22,Circular Ladder graph,1,2,4,4
22,Circular Ladder graph,1,3,3,4
22,Circular Ladder graph,1,4,3,4
22,Circular Ladder graph,2,2,3,2
22,Circular Ladder graph,2,3,3,2
22,Circular Ladder graph,2,4,2,3
22,Random Block Graph with 7 blocks of order 4,1,2,2,2
22,Random Block Graph with 7 blocks of order 4,1,3,2,2
22,Random Block Graph with 7 blocks of order 4,1,4,1,2
22,Random Block Graph with 7 blocks of order 4,2,2,2,2
22,Random Block Graph with 7 blocks of order 4,2,3,2,2
22,Random Block Graph with 7 blocks of order 4,2,4,1,2
22,Random Block Graph with 3 blocks of order 8,1,2,1,1
22,Random Block Graph with 3 blocks of order 8,1,3,2,2
22,Random Block Graph with 3 blocks of order 8,1,4,1,1
22,Random Block Graph with 3 blocks of order 8,2,2,1,1
22,Random Block Graph with 3 blocks of order 8,2,3,1,1
22,Random Block Graph with 3 blocks of order 8,2,4,1,1
23,Random Block Graph with 11 blocks of order 3,1,2,2,2
23,Random Block Graph with 11 blocks of order 3,1,3,2,2
